Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 24, 'a': 16, 's': 35, 'd': 21}",732,0.12,0.0,False,64
"{'w': 42, 'a': 33, 's': 28, 'd': 50}",1344,0.21,0.0,False,128
"{'w': 29, 'a': 32, 's': 33, 'd': 26}",996,0.15,0.0,False,128
"{'w': 49, 'a': 35, 's': 35, 'd': 34}",1276,0.23,0.0,False,128
"{'w': 28, 'a': 30, 's': 29, 'd': 32}",1092,0.16,0.0,False,128
"{'w': 50, 'a': 30, 's': 19, 'd': 25}",816,0.17,0.0,False,64
"{'w': 29, 'a': 33, 's': 31, 'd': 22}",872,0.15,0.0,False,64
"{'w': 29, 'a': 31, 's': 24, 'd': 21}",744,0.15,0.0,False,64
"{'w': 30, 'a': 18, 's': 25, 'd': 25}",660,0.13,0.0,False,64
"{'w': 41, 'a': 34, 's': 26, 'd': 31}",1068,0.19,0.0,False,128
"{'w': 44, 'a': 26, 's': 21, 'd': 28}",868,0.17,0.0,False,64
"{'w': 40, 'a': 33, 's': 24, 'd': 27}",968,0.17,0.0,False,64
"{'w': 25, 'a': 19, 's': 17, 'd': 18}",504,0.1,0.0,False,64
"{'w': 34, 'a': 29, 's': 38, 'd': 41}",1308,0.2,0.0,False,128
"{'w': 28, 'a': 20, 's': 21, 'd': 26}",624,0.14,0.0,False,64
"{'w': 48, 'a': 38, 's': 26, 'd': 46}",1376,0.25,0.0,False,128
"{'w': 49, 'a': 39, 's': 31, 'd': 28}",1288,0.2,0.0,False,128
"{'w': 33, 'a': 36, 's': 31, 'd': 36}",1148,0.17,0.0,False,128
"{'w': 44, 'a': 30, 's': 28, 'd': 33}",1124,0.17,0.0,False,128
"{'w': 43, 'a': 45, 's': 39, 'd': 34}",1604,0.23,0.0,False,128
"{'w': 31, 'a': 18, 's': 16, 'd': 23}",572,0.15,0.0,False,64
"{'w': 48, 'a': 44, 's': 34, 'd': 45}",1480,0.25,0.0,False,128
"{'w': 23, 'a': 54, 's': 32, 'd': 45}",1340,0.2,0.0,False,128
"{'w': 24, 'a': 20, 's': 23, 'd': 22}",552,0.12,0.0,False,64
"{'w': 17, 'a': 16, 's': 15, 'd': 13}",312,0.09,0.0,False,32
"{'w': 32, 'a': 39, 's': 28, 'd': 30}",1064,0.19,0.0,False,128
"{'w': 45, 'a': 38, 's': 36, 'd': 46}",1464,0.24,0.0,False,128
"{'w': 23, 'a': 16, 's': 27, 'd': 20}",580,0.12,0.0,False,64
"{'w': 42, 'a': 24, 's': 24, 'd': 20}",908,0.15,0.0,False,64
"{'w': 40, 'a': 27, 's': 48, 'd': 31}",1248,0.19,0.0,False,128
"{'w': 29, 'a': 30, 's': 14, 'd': 32}",728,0.15,0.0,False,64
"{'w': 25, 'a': 20, 's': 25, 'd': 16}",608,0.13,0.0,False,64
"{'w': 40, 'a': 31, 's': 33, 'd': 41}",1124,0.23,0.0,False,128
"{'w': 24, 'a': 23, 's': 17, 'd': 15}",560,0.12,0.0,False,64
"{'w': 36, 'a': 42, 's': 27, 'd': 33}",1204,0.23,0.0,False,128
"{'w': 21, 'a': 21, 's': 17, 'd': 29}",560,0.17,0.0,False,64
"{'w': 24, 'a': 29, 's': 21, 'd': 18}",612,0.13,0.0,False,64
"{'w': 29, 'a': 23, 's': 23, 'd': 35}",844,0.15,0.0,False,64
